lo_id,lo_ip,mb_id,lo_datetime,lo_location,lo_url
336542,85.208.96.199,,2026-01-29 13:48:49,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=6&w=r&wr_id=19
336543,52.2.83.227,,2026-01-29 13:44:40,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=18&sod=asc&sop=and&sst=wr_hit&w=r&wr_id=50
336544,40.77.167.68,,2026-01-29 13:44:49,오류안내 페이지,/bbs/board.php?bo_table=data_room&wr_id=62
336545,44.216.172.204,,2026-01-29 13:44:51,경북 칠곡군[304KW_공사예정] > 건축물현장,/bbs/board.php?bo_table=buildingsite&page=5&wr_id=83
336546,50.16.248.61,,2026-01-29 13:44:53,경남 양산시 용당동 > 사업검토,/bbs/board.php?bo_table=landreview&page=18&sod=desc&sop=and&sst=wr_datetime&wr_id=394
336547,185.191.171.8,,2026-01-29 13:46:12,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=2&w=r&wr_id=83
336548,66.249.64.164,,2026-01-29 13:46:35,경북 경주시 내남면 화계로 > 사업검토,/bbs/board.php?bo_table=landreview&wr_id=378&page=8
336549,85.208.96.205,,2026-01-29 13:46:37,토지현장 글답변,/bbs/write.php?bo_table=landsite&page=2&w=r&wr_id=29
336550,185.191.171.13,,2026-01-29 13:46:55,건축물현장 글답변,/bbs/write.php?bo_table=buildingsite&page=3&w=r&wr_id=31
336551,185.191.171.5,,2026-01-29 13:48:07,사업검토 글답변,/bbs/write.php?bo_table=landreview&page=5&w=r&wr_id=530
336552,185.191.171.14,,2026-01-29 13:48:25,업계 정책자료실 글답변,/bbs/write.php?bo_table=dataroom&page=10&w=r&wr_id=56
