wr_id,wr_num,wr_reply,wr_parent,wr_is_comment,wr_comment,wr_comment_reply,ca_name,wr_option,wr_subject,wr_content,wr_seo_title,wr_link1,wr_link2,wr_link1_hit,wr_link2_hit,wr_hit,wr_good,wr_nogood,mb_id,wr_password,wr_name,wr_email,wr_homepage,wr_datetime,wr_file,wr_last,wr_ip,wr_facebook_user,wr_twitter_user,wr_1,wr_2,wr_3,wr_4,wr_5,wr_6,wr_7,wr_8,wr_9,wr_10,wr_11,wr_12
20,-16,,20,0,0,,법인,set(),미소수산 1호,,미소수산-1호,,,0,0,957,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:28:38,2,2024-11-22 18:28:38,1.212.55.19,,,제주도 서귀포시 성산읍 수산리,개발행위 완료 / PPA 접수완료,1(MW),현물,미정,법인,자가,2023.05.05,2023.04.17,2023.05.11,공사계획중,1(MW)
21,-17,,21,0,0,,법인,set(),미소수산 2호,,미소수산-2호,,,0,0,929,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:29:36,2,2024-11-22 18:29:36,1.212.55.19,,,제주도 서귀포시 성산읍 수산리,개발행위 완료 / PPA 접수완료,1(MW),현물,미정,법인,자가,2023.05.05,2023.04.17,2023.05.11,공사계획중,1(MW)
22,-18,,22,0,0,,법인,set(),미소수산 3호,,미소수산-3호,,,0,0,932,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:30:34,2,2024-11-22 18:30:34,1.212.55.19,,,제주도 서귀포시 성산읍 수산리,개발행위 완료 / PPA 접수완료,1(MW),현물,미정,법인,자가,2023.05.05,2023.04.17,2023.05.11,공사계획중,1(MW)
23,-19,,23,0,0,,법인,set(),제일테크 11호,■ 발전사업 허가 접수일 : 2024.08.28,제일테크-11호,,,0,0,927,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:31:44,2,2024-11-22 18:31:44,1.212.55.19,,,제주도 서귀포시 상예동,발전사업허가접수,998.75,현물,미정,법인,자가,,,,,1(MW)
24,-20,,24,0,0,,법인,set(),제일테크 12호,■ 발전사업 접수일 : 2024.08.23,제일테크-12호,,,0,0,912,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:32:45,2,2024-11-22 18:32:45,1.212.55.19,,,제주도 서귀포시 성산읍 신풍리,발전사업허가 접수중,471,현물,미정,법인,자가,,,,공사계획중,471KW
25,-21,,25,0,0,,법인,set(),위미1호,,위미1호,,,0,0,906,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:33:41,2,2024-11-22 18:33:41,1.212.55.19,,,제주도 서귀포시 남원읍 위미리,개발행위허가완료/ PPA접수,1(MW),현물,미정,법인,자가,2024.10.02,2024.10.02,2024.10.04,공사계획중,1(MW)
26,-22,,26,0,0,,법인,set(),위미2호,,위미2호,,,0,0,911,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:34:41,2,2024-11-22 18:34:41,1.212.55.19,,,제주도 서귀포시 남원읍 위미리,개발행위허가완료/ PPA접수,1(MW),현물,미정,법인,자가,2024.10.02,2024.10.02,2024.10.04,공사계획중,1(MW)
27,-23,,27,0,0,,법인,set(),위미3호,,위미3호,,,0,0,889,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:35:44,2,2024-11-22 18:35:44,1.212.55.19,,,제주도 서귀포시 남원읍 위미리,개발행위허가완료/PPA접수,1(MW),현물,미정,법인,자가,2024.10.02,2024.10.02,2024.10.04,공사계획중,1(MW)
28,-24,,28,0,0,,법인,set(),위미4호,,위미4호,,,0,0,899,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:36:42,2,2024-11-22 18:36:42,1.212.55.19,,,제주도 서귀포시 남원읍 위미리,개발행위허가완료/PPA접수,1(MK),현물,미정,법인,자가,2024.10.02,2024.10.02,2024.10.04,공사계획중,1(MW)
29,-25,,29,0,0,,법인,set(),서주태양광,,서주태양광,,,0,0,943,0,0,admin,,(주)제일테크,ctpv@ctpv.kr,,2024-11-22 18:37:40,2,2024-11-22 18:37:40,1.212.55.19,,,제주도 서귀포시 남원읍 위미리,개발행위허가완료/PPA접수,574,현물,미정,법인,자가,2024.10.02,2024.10.02,2024.10.04,공사계획중,574KW
