po_id,mb_id,po_datetime,po_content,po_point,po_use_point,po_expired,po_expire_date,po_mb_point,po_rel_table,po_rel_id,po_rel_action
31,ctpv,2025-10-14 09:30:40,2025-10-14 첫로그인,100,0,0,9999-12-31,1100,@login,ctpv,2025-10-14
32,baraem,2025-10-14 11:42:25,2025-10-14 첫로그인,100,0,0,9999-12-31,2100,@login,baraem,2025-10-14
33,ctpv,2025-10-15 08:55:41,2025-10-15 첫로그인,100,0,0,9999-12-31,1200,@login,ctpv,2025-10-15
34,baraem,2025-10-15 10:38:26,2025-10-15 첫로그인,100,0,0,9999-12-31,2200,@login,baraem,2025-10-15
35,ctpv,2025-10-16 08:39:06,2025-10-16 첫로그인,100,0,0,9999-12-31,1300,@login,ctpv,2025-10-16
36,ctpv,2025-10-17 08:36:25,2025-10-17 첫로그인,100,0,0,9999-12-31,1400,@login,ctpv,2025-10-17
37,ctpv,2025-10-20 08:41:57,2025-10-20 첫로그인,100,0,0,9999-12-31,1500,@login,ctpv,2025-10-20
38,baraem,2025-10-20 15:44:05,2025-10-20 첫로그인,100,0,0,9999-12-31,2300,@login,baraem,2025-10-20
39,ctpv,2025-10-21 08:33:02,2025-10-21 첫로그인,100,0,0,9999-12-31,1600,@login,ctpv,2025-10-21
40,baraem,2025-10-21 10:46:50,2025-10-21 첫로그인,100,0,0,9999-12-31,2400,@login,baraem,2025-10-21
41,ctpv,2025-10-22 08:38:43,2025-10-22 첫로그인,100,0,0,9999-12-31,1700,@login,ctpv,2025-10-22
42,baraem,2025-10-22 12:00:38,2025-10-22 첫로그인,100,0,0,9999-12-31,2500,@login,baraem,2025-10-22
43,ctpv,2025-10-23 09:47:28,2025-10-23 첫로그인,100,0,0,9999-12-31,1800,@login,ctpv,2025-10-23
44,baraem,2025-10-23 10:04:31,2025-10-23 첫로그인,100,0,0,9999-12-31,2600,@login,baraem,2025-10-23
45,ctpv,2025-10-24 08:33:21,2025-10-24 첫로그인,100,0,0,9999-12-31,1900,@login,ctpv,2025-10-24
46,baraem,2025-10-24 16:20:42,2025-10-24 첫로그인,100,0,0,9999-12-31,2700,@login,baraem,2025-10-24
47,ctpv,2025-10-27 08:24:21,2025-10-27 첫로그인,100,0,0,9999-12-31,2000,@login,ctpv,2025-10-27
48,ctpv,2025-10-28 08:28:18,2025-10-28 첫로그인,100,0,0,9999-12-31,2100,@login,ctpv,2025-10-28
49,ctpv,2025-10-29 08:41:25,2025-10-29 첫로그인,100,0,0,9999-12-31,2200,@login,ctpv,2025-10-29
50,baraem,2025-10-29 11:12:01,2025-10-29 첫로그인,100,0,0,9999-12-31,2800,@login,baraem,2025-10-29
51,ctpv,2025-10-30 08:50:17,2025-10-30 첫로그인,100,0,0,9999-12-31,2300,@login,ctpv,2025-10-30
52,ctpv,2025-10-31 08:32:28,2025-10-31 첫로그인,100,0,0,9999-12-31,2400,@login,ctpv,2025-10-31
53,ctpv,2025-11-03 08:46:22,2025-11-03 첫로그인,100,0,0,9999-12-31,2500,@login,ctpv,2025-11-03
54,ctpv,2025-11-04 08:34:39,2025-11-04 첫로그인,100,0,0,9999-12-31,2600,@login,ctpv,2025-11-04
55,ctpv,2025-11-05 08:30:38,2025-11-05 첫로그인,100,0,0,9999-12-31,2700,@login,ctpv,2025-11-05
56,baraem,2025-11-05 14:18:53,2025-11-05 첫로그인,100,0,0,9999-12-31,2900,@login,baraem,2025-11-05
57,ctpv,2025-11-06 08:31:58,2025-11-06 첫로그인,100,0,0,9999-12-31,2800,@login,ctpv,2025-11-06
58,ctpv,2025-11-07 08:35:39,2025-11-07 첫로그인,100,0,0,9999-12-31,2900,@login,ctpv,2025-11-07
59,ctpv,2025-11-10 08:36:39,2025-11-10 첫로그인,100,0,0,9999-12-31,3000,@login,ctpv,2025-11-10
60,ctpv,2025-11-11 08:13:10,2025-11-11 첫로그인,100,0,0,9999-12-31,3100,@login,ctpv,2025-11-11
61,ctpv,2025-11-12 08:35:03,2025-11-12 첫로그인,100,0,0,9999-12-31,3200,@login,ctpv,2025-11-12
62,ctpv,2025-11-13 08:27:35,2025-11-13 첫로그인,100,0,0,9999-12-31,3300,@login,ctpv,2025-11-13
63,baraem,2025-11-13 13:45:26,2025-11-13 첫로그인,100,0,0,9999-12-31,3000,@login,baraem,2025-11-13
64,ctpv,2025-11-14 08:37:44,2025-11-14 첫로그인,100,0,0,9999-12-31,3400,@login,ctpv,2025-11-14
65,ctpv,2025-11-17 08:30:22,2025-11-17 첫로그인,100,0,0,9999-12-31,3500,@login,ctpv,2025-11-17
66,ctpv,2025-11-18 08:24:17,2025-11-18 첫로그인,100,0,0,9999-12-31,3600,@login,ctpv,2025-11-18
67,ctpv,2025-11-19 08:19:51,2025-11-19 첫로그인,100,0,0,9999-12-31,3700,@login,ctpv,2025-11-19
68,ctpv,2025-11-20 08:27:17,2025-11-20 첫로그인,100,0,0,9999-12-31,3800,@login,ctpv,2025-11-20
69,baraem,2025-11-20 17:25:04,2025-11-20 첫로그인,100,0,0,9999-12-31,3100,@login,baraem,2025-11-20
70,ctpv,2025-11-21 08:44:06,2025-11-21 첫로그인,100,0,0,9999-12-31,3900,@login,ctpv,2025-11-21
71,ctpv,2025-11-24 08:25:31,2025-11-24 첫로그인,100,0,0,9999-12-31,4000,@login,ctpv,2025-11-24
72,ctpv,2025-11-25 08:29:22,2025-11-25 첫로그인,100,0,0,9999-12-31,4100,@login,ctpv,2025-11-25
73,baraem,2025-11-25 12:44:09,2025-11-25 첫로그인,100,0,0,9999-12-31,3200,@login,baraem,2025-11-25
74,ctpv,2025-11-26 08:29:43,2025-11-26 첫로그인,100,0,0,9999-12-31,4200,@login,ctpv,2025-11-26
75,ctpv,2025-11-27 08:21:14,2025-11-27 첫로그인,100,0,0,9999-12-31,4300,@login,ctpv,2025-11-27
76,ctpv,2025-11-28 09:11:24,2025-11-28 첫로그인,100,0,0,9999-12-31,4400,@login,ctpv,2025-11-28
77,ctpv,2025-12-01 08:26:07,2025-12-01 첫로그인,100,0,0,9999-12-31,4500,@login,ctpv,2025-12-01
78,ctpv,2025-12-02 08:25:31,2025-12-02 첫로그인,100,0,0,9999-12-31,4600,@login,ctpv,2025-12-02
79,ctpv,2025-12-03 08:41:18,2025-12-03 첫로그인,100,0,0,9999-12-31,4700,@login,ctpv,2025-12-03
80,ctpv,2025-12-04 08:35:41,2025-12-04 첫로그인,100,0,0,9999-12-31,4800,@login,ctpv,2025-12-04
81,baraem,2025-12-04 16:48:45,2025-12-04 첫로그인,100,0,0,9999-12-31,3300,@login,baraem,2025-12-04
82,ctpv,2025-12-05 08:28:34,2025-12-05 첫로그인,100,0,0,9999-12-31,4900,@login,ctpv,2025-12-05
83,ctpv,2025-12-08 13:26:36,2025-12-08 첫로그인,100,0,0,9999-12-31,5000,@login,ctpv,2025-12-08
84,ctpv,2025-12-09 08:32:26,2025-12-09 첫로그인,100,0,0,9999-12-31,5100,@login,ctpv,2025-12-09
85,ctpv,2025-12-10 07:53:15,2025-12-10 첫로그인,100,0,0,9999-12-31,5200,@login,ctpv,2025-12-10
86,ctpv,2025-12-11 08:23:36,2025-12-11 첫로그인,100,0,0,9999-12-31,5300,@login,ctpv,2025-12-11
87,ctpv,2025-12-12 08:35:10,2025-12-12 첫로그인,100,0,0,9999-12-31,5400,@login,ctpv,2025-12-12
88,ctpv,2025-12-15 08:40:29,2025-12-15 첫로그인,100,0,0,9999-12-31,5500,@login,ctpv,2025-12-15
89,ctpv,2025-12-16 08:49:21,2025-12-16 첫로그인,100,0,0,9999-12-31,5600,@login,ctpv,2025-12-16
90,ctpv,2025-12-17 08:32:18,2025-12-17 첫로그인,100,0,0,9999-12-31,5700,@login,ctpv,2025-12-17
91,ctpv,2025-12-18 08:25:47,2025-12-18 첫로그인,100,0,0,9999-12-31,5800,@login,ctpv,2025-12-18
92,ctpv,2025-12-19 08:25:47,2025-12-19 첫로그인,100,0,0,9999-12-31,5900,@login,ctpv,2025-12-19
93,ctpv,2025-12-22 08:34:23,2025-12-22 첫로그인,100,0,0,9999-12-31,6000,@login,ctpv,2025-12-22
94,ctpv,2025-12-23 08:42:52,2025-12-23 첫로그인,100,0,0,9999-12-31,6100,@login,ctpv,2025-12-23
95,ctpv,2025-12-24 08:36:36,2025-12-24 첫로그인,100,0,0,9999-12-31,6200,@login,ctpv,2025-12-24
96,ctpv,2025-12-26 08:24:11,2025-12-26 첫로그인,100,0,0,9999-12-31,6300,@login,ctpv,2025-12-26
97,ctpv,2025-12-29 08:50:13,2025-12-29 첫로그인,100,0,0,9999-12-31,6400,@login,ctpv,2025-12-29
98,ctpv,2025-12-30 08:29:22,2025-12-30 첫로그인,100,0,0,9999-12-31,6500,@login,ctpv,2025-12-30
99,ctpv,2025-12-31 08:28:40,2025-12-31 첫로그인,100,0,0,9999-12-31,6600,@login,ctpv,2025-12-31
100,baraem,2025-12-31 11:40:42,2025-12-31 첫로그인,100,0,0,9999-12-31,3400,@login,baraem,2025-12-31
